No,ID,Full name, Total Mark, Final Mark, Midterm Mark, Other Mark
97,23127231,Giang Tran,10,10,10,10
98,23127232,Hai Pham,10,10,10,10
99,23127233,Hien Nguyen,10,10,10,10
100,23127234,Hoai Le,10,10,10,10
101,23127235,Hung Tran,10,10,10,10
102,23127236,Khanh Nguyen,10,10,10,10
103,23127237,Linh Tran,10,10,10,10
104,23127238,Minh Le,10,10,10,10
105,23127239,Nga Nguyen,10,10,10,10
106,23127240,Phong Tran,10,10,10,10
107,23127241,Phuong Nguyen,10,10,10,10
108,23127242,Quan Le,10,10,10,10
109,23127243,Son Tran,10,10,10,10
110,23127244,Thanh Nguyen,10,10,10,10
111,23127245,Thu Le,10,10,10,10
112,23127246,Trung Nguyen,10,10,10,10
113,23127247,Tuan Anh Tran,10,10,10,10
114,23127248,Tuyen Nguyen,10,10,10,10
115,23127249,Van Tran,10,10,10,10
116,23127250,Xuan Nguyen,10,10,10,10
117,23127301,Quy Tran,10,10,10,10
118,23127302,Hoa Nguyen,10,10,10,10
119,23127303,Minh Le,10,10,10,10
120,23127304,Anh Pham,10,10,10,10
121,23127305,Tuan Tran,10,10,10,10
122,23127306,Huyen Vo,10,10,10,10
123,23127307,Nam Nguyen,10,10,10,10
124,23127308,Linh Do,10,10,10,10
125,23127309,Hai Truong,10,10,10,10
126,23127310,Mai Nguyen,10,10,10,10
127,23127311,Duc Phan,10,10,10,10
128,23127312,Thu Tran,10,10,10,10
129,23127313,Quang Nguyen,10,10,10,10
130,23127314,My Le,10,10,10,10
131,23127315,Khanh Vo,10,10,10,10
132,23127316,Hoa Nguyen,10,10,10,10
133,23127317,Dat Tran,10,10,10,10
134,23127318,Trang Do,10,10,10,10
135,23127319,Binh Nguyen,10,10,10,10
136,23127320,An Le,10,10,10,10
137,23127321,Dung Pham,10,10,10,10
138,23127322,Thanh Tran,10,10,10,10
139,23127323,Nhat Nguyen,10,10,10,10
140,23127324,Lan Vo,10,10,10,10
141,23127325,Long Do,10,10,10,10
142,23127326,Hien Le,10,10,10,10
143,23127327,Phuong Tran,10,10,10,10
144,23127328,Hoang Nguyen,10,10,10,10
145,23127329,Hieu Pham,10,10,10,10
146,23127330,Hoa Nguyen,10,10,10,10
147,23127331,Duc Le,10,10,10,10
148,23127332,Thuy Tran,10,10,10,10
149,23127333,Minh Do,10,10,10,10
150,23127334,Tram Pham,10,10,10,10
151,23127335,Kien Nguyen,10,10,10,10
152,23127336,Hong Nguyen,10,10,10,10
153,23127337,Anh Le,10,10,10,10
154,23127338,Linh Vo,10,10,10,10
155,23127339,Tu Tran,10,10,10,10
156,23127340,Phuc Nguyen,10,10,10,10
157,23127341,Hien Pham,10,10,10,10
158,23127342,Thanh Le,10,10,10,10
159,23127343,Duong Tran,10,10,10,10
160,23127344,Hoa Nguyen,10,10,10,10
161,23127345,Bao Do,10,10,10,10
162,23127346,Lan Nguyen,10,10,10,10
163,23127347,Minh Nguyen,10,10,10,10
164,23127348,Anh Tran,10,10,10,10
165,23127349,Tien Le,10,10,10,10
166,23127350,Phuong Pham,10,10,10,10
