No,ID,Full name, Total Mark, Final Mark, Midterm Mark, Other Mark
52,23127111,Vinh Tran,9,9,9,9
53,23127112,Xuan Le,9,9,9,9
54,23127113,Yen Nguyen,9,9,9,9
55,23127114,Yen Tran,9,9,9,9
56,23127115,Yen Le,9,9,9,9
57,23127116,Yen Nguyen,9,9,9,9
58,23127117,Yen Tran,9,9,9,9
59,23127118,Yen Le,9,9,9,9
60,23127119,Yen Nguyen,9,9,9,9
61,23127120,Yen Tran,9,9,9,9
62,23127121,Yen Le,9,9,9,9
63,23127122,Yen Nguyen,9,9,9,9
64,23127123,Yen Tran,9,9,9,9
65,23127124,Yen Le,9,9,9,9
66,23127125,Yen Nguyen,9,9,9,9
67,23127201,Anh Nguyen,9,9,9,9
68,23127202,Bao Tran,9,9,9,9
69,23127203,Chi Pham,9,9,9,9
70,23127204,Dung Le,9,9,9,9
71,23127205,Em Vo,9,9,9,9
72,23127206,Ha Nguyen,9,9,9,9
73,23127207,Hieu Tran,9,9,9,9
74,23127208,Anh Phan,9,9,9,9
75,23127209,Long Do,9,9,9,9
76,23127210,Minh Nguyen,9,9,9,9
77,23127211,Ngoc Tran,9,9,9,9
78,23127212,Quynh Le,9,9,9,9
79,23127213,Son Pham,9,9,9,9
80,23127214,Thanh Nguyen,9,9,9,9
81,23127215,Tuan Vo,9,9,9,9
82,23127216,Van Anh Tran,9,9,9,9
83,23127217,Xuan Nguyen,9,9,9,9
84,23127218,Yen Le,9,9,9,9
85,23127219,Duc Tran,9,9,9,9
86,23127220,Hong Pham,9,9,9,9
87,23127221,Quang Nguyen,9,9,9,9
88,23127222,Huong Vo,9,9,9,9
89,23127223,Nam Le,9,9,9,9
90,23127224,Son Nguyen,9,9,9,9
91,23127225,Thanh Tran,9,9,9,9
92,23127226,Trung Pham,9,9,9,9
93,23127227,Anh Nguyen,9,9,9,9
94,23127228,Binh Tran,9,9,9,9
95,23127229,Chau Le,9,9,9,9
96,23127230,Dat Nguyen,9,9,9,9
97,23127231,Giang Tran,9,9,9,9
98,23127232,Hai Pham,9,9,9,9
99,23127233,Hien Nguyen,9,9,9,9
100,23127234,Hoai Le,9,9,9,9
101,23127235,Hung Tran,9,9,9,9
102,23127236,Khanh Nguyen,9,9,9,9
103,23127237,Linh Tran,9,9,9,9
104,23127238,Minh Le,9,9,9,9
105,23127239,Nga Nguyen,9,9,9,9
106,23127240,Phong Tran,9,9,9,9
107,23127241,Phuong Nguyen,9,9,9,9
108,23127242,Quan Le,9,9,9,9
109,23127243,Son Tran,9,9,9,9
110,23127244,Thanh Nguyen,9,9,9,9
111,23127245,Thu Le,9,9,9,9
112,23127246,Trung Nguyen,9,9,9,9
113,23127247,Tuan Anh Tran,9,9,9,9
114,23127248,Tuyen Nguyen,9,9,9,9
115,23127249,Van Tran,9,9,9,9
116,23127250,Xuan Nguyen,9,9,9,9
117,23127301,Quy Tran,9,9,9,9
118,23127302,Hoa Nguyen,9,9,9,9
119,23127303,Minh Le,9,9,9,9
120,23127304,Anh Pham,9,9,9,9
121,23127305,Tuan Tran,9,9,9,9
122,23127306,Huyen Vo,9,9,9,9
123,23127307,Nam Nguyen,9,9,9,9
124,23127308,Linh Do,9,9,9,9
125,23127309,Hai Truong,9,9,9,9
126,23127310,Mai Nguyen,9,9,9,9
127,23127311,Duc Phan,9,9,9,9
128,23127312,Thu Tran,9,9,9,9
129,23127313,Quang Nguyen,9,9,9,9
130,23127314,My Le,9,9,9,9
131,23127315,Khanh Vo,9,9,9,9
132,23127316,Hoa Nguyen,9,9,9,9
133,23127317,Dat Tran,9,9,9,9
134,23127318,Trang Do,9,9,9,9
135,23127319,Binh Nguyen,9,9,9,9
136,23127320,An Le,9,9,9,9
137,23127321,Dung Pham,9,9,9,9
138,23127322,Thanh Tran,9,9,9,9
139,23127323,Nhat Nguyen,9,9,9,9
140,23127324,Lan Vo,9,9,9,9
141,23127325,Long Do,9,9,9,9
142,23127326,Hien Le,9,9,9,9
143,23127327,Phuong Tran,9,9,9,9
144,23127328,Hoang Nguyen,9,9,9,9
145,23127329,Hieu Pham,9,9,9,9
146,23127330,Hoa Nguyen,9,9,9,9
147,23127331,Duc Le,9,9,9,9
148,23127332,Thuy Tran,9,9,9,9
149,23127333,Minh Do,9,9,9,9
150,23127334,Tram Pham,9,9,9,9
151,23127335,Kien Nguyen,9,9,9,9
152,23127336,Hong Nguyen,9,9,9,9
153,23127337,Anh Le,9,9,9,9
154,23127338,Linh Vo,9,9,9,9
155,23127339,Tu Tran,9,9,9,9
156,23127340,Phuc Nguyen,9,9,9,9
157,23127341,Hien Pham,9,9,9,9
158,23127342,Thanh Le,9,9,9,9
159,23127343,Duong Tran,9,9,9,9
160,23127344,Hoa Nguyen,9,9,9,9
161,23127345,Bao Do,9,9,9,9
162,23127346,Lan Nguyen,9,9,9,9
163,23127347,Minh Nguyen,9,9,9,9
164,23127348,Anh Tran,9,9,9,9
165,23127349,Tien Le,9,9,9,9
166,23127350,Phuong Pham,9,9,9,9
